count,datetime,stock_code,exchange_code,open,high,low,close,volume,monthlyAvgPrice,monthly avg price,daily avg price
138,2022-07-22 12:07:00,TATMOT,NSE,456.6,459.95,452.3,454.9,10340910,,436.09642857142853,456.125
139,2022-07-25 12:07:00,TATMOT,NSE,456.0,457.6,446.3,449.55,12505062,,436.09642857142853,451.95000000000005
140,2022-07-26 12:07:00,TATMOT,NSE,448.7,448.7,439.75,441.15,11563528,,436.09642857142853,444.225
141,2022-07-27 12:07:00,TATMOT,NSE,441.15,445.0,436.1,444.05,10081023,,436.09642857142853,440.55
142,2022-07-28 12:07:00,TATMOT,NSE,440.25,449.25,427.4,442.25,36380444,,436.09642857142853,438.325
143,2022-07-29 12:07:00,TATMOT,NSE,445.15,452.7,445.15,449.6,16004096,,436.09642857142853,448.92499999999995
144,2022-08-01 12:08:00,TATMOT,NSE,451.95,481.0,451.05,479.2,43084536,,468.43499999999995,466.025
145,2022-08-02 12:08:00,TATMOT,NSE,478.9,479.9,469.25,476.25,19065689,,468.43499999999995,474.575
146,2022-08-03 12:08:00,TATMOT,NSE,475.0,476.25,459.6,467.8,19125906,,468.43499999999995,467.925
147,2022-08-04 12:08:00,TATMOT,NSE,473.15,473.95,456.45,468.9,18540405,,468.43499999999995,465.2
148,2022-08-05 12:08:00,TATMOT,NSE,468.9,472.9,464.0,465.25,11917799,,468.43499999999995,468.45
